1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd
778,798.0,3.0,3.0,0,5.0,770,614,1.0,2006.0,1576,2.0,8125,65.0,0.0,50,5,7,770,2006,2006
988,0.0,3.0,3.0,827,4.0,161,572,2.0,1963.0,988,3.0,9945,66.0,57.0,0,5,5,988,1961,1961
684,512.0,3.0,2.0,0,5.0,684,528,2.0,2005.0,1196,2.0,12354,67.0,0.0,46,8,6,684,1920,2000
1320,1320.0,4.0,3.0,0,5.0,1240,864,2.0,1950.0,2640,2.0,11700,65.0,0.0,0,7,7,1240,1880,2003
1132,0.0,2.0,3.0,1024,2.0,108,451,0.0,2005.0,1132,2.0,7024,60.0,0.0,64,5,4,1132,2005,2005
679,504.0,2.0,3.0,331,0.0,318,308,2.0,1981.0,1183,3.0,6000,50.0,0.0,176,7,3,649,1948,2002
1656,0.0,4.0,3.0,0,5.0,1656,506,2.0,1973.0,1656,3.0,9246,87.0,564.0,211,5,5,1656,1973,1973
1422,0.0,3.0,0.0,0,5.0,1422,626,1.0,2004.0,1422,2.0,8500,63.0,106.0,60,5,7,1422,2004,2004
1096,895.0,3.0,2.0,297,4.0,0,432,2.0,1977.0,1991,3.0,11275,66.0,480.0,0,7,6,854,1932,1950
1668,0.0,3.0,0.0,1059,2.0,567,702,2.0,2002.0,1668,2.0,11248,90.0,215.0,45,5,9,1626,2002,2002
1026,932.0,3.0,3.0,0,5.0,1026,936,0.0,2005.0,1958,2.0,10625,85.0,0.0,210,5,7,1026,2005,2005
1306,954.0,3.0,1.0,1201,2.0,105,533,2.0,1996.0,2260,2.0,14000,80.0,0.0,44,5,7,1306,1996,1997
672,0.0,2.0,3.0,0,5.0,0,0,2.0,1982.5,912,3.0,6240,52.0,0.0,0,5,4,0,1947,1950
1229,0.0,3.0,3.0,1059,0.0,75,284,1.0,1956.0,1229,3.0,17140,66.0,0.0,0,6,4,1134,1956,1956
1012,778.0,4.0,3.0,247,4.0,485,484,1.0,1972.0,1790,3.0,10400,80.0,288.0,0,5,6,732,1972,1972
1040,0.0,3.0,2.0,532,3.0,364,484,2.0,1977.0,1040,2.0,8800,61.0,0.0,0,7,5,1040,1977,2008
720,0.0,2.0,3.0,495,4.0,225,0,2.0,1982.5,720,3.0,7879,60.0,0.0,523,5,4,720,1920,1950
796,358.0,3.0,3.0,735,1.0,61,240,2.0,1922.0,1154,2.0,5436,40.0,0.0,96,8,4,796,1922,2007
1700,0.0,4.0,3.0,1018,4.0,380,447,1.0,1959.0,1700,2.0,10552,70.0,0.0,38,5,5,1398,1959,1959
1301,0.0,2.0,2.0,405,3.0,740,440,2.0,1965.0,1301,1.0,6911,60.0,0.0,0,5,5,1145,1924,1950
912,0.0,2.0,3.0,456,4.0,456,275,1.0,1958.0,912,3.0,10150,70.0,1.0,0,5,5,912,1958,1958
920,866.0,3.0,2.0,486,2.0,434,608,1.0,2001.0,1786,2.0,11250,68.0,162.0,42,5,7,920,2001,2002
804,744.0,3.0,3.0,556,5.0,248,440,2.0,1976.0,1548,2.0,2308,24.0,0.0,0,6,6,804,1976,1976
1518,1518.0,4.0,2.0,0,5.0,1107,840,2.0,1993.0,3608,0.0,22950,90.0,0.0,260,9,10,1107,1892,1993
936,780.0,6.0,3.0,210,5.0,570,0,2.0,1982.5,1716,1.0,5687,55.0,0.0,184,6,5,780,1912,2000
1212,0.0,3.0,3.0,0,5.0,1212,573,1.0,2001.0,1212,2.0,9100,70.0,0.0,0,5,7,1212,2001,2001
864,0.0,2.0,3.0,203,4.0,661,200,2.0,1938.0,864,3.0,8212,45.0,0.0,0,3,3,864,1914,1950
876,540.0,4.0,2.0,0,5.0,876,720,2.0,1949.0,1416,3.0,12665,100.0,0.0,0,8,5,876,1915,1950
1122,1121.0,4.0,3.0,700,0.0,0,746,1.0,1990.0,2243,2.0,13474,116.0,246.0,44,5,7,700,1990,1991
952,0.0,2.0,2.0,852,0.0,100,840,2.0,1988.0,952,3.0,7350,60.0,0.0,0,7,5,952,1951,1951
860,0.0,2.0,0.0,672,0.0,168,528,2.0,1996.0,860,3.0,8740,74.0,0.0,0,6,5,840,1982,1982
1008,0.0,4.0,3.0,0,5.0,1008,0,2.0,1982.5,1522,3.0,6000,60.0,0.0,0,5,5,1008,1926,1950
1987,0.0,2.0,1.0,1314,2.0,672,691,0.0,1994.0,1987,2.0,14303,91.0,554.0,36,5,8,1986,1994,1994
880,888.0,2.0,2.0,390,5.0,490,320,2.0,1914.0,1768,3.0,10800,60.0,0.0,341,7,7,880,1914,1970
1200,0.0,3.0,3.0,334,0.0,322,521,1.0,1995.0,1200,2.0,11249,105.0,0.0,26,5,6,1200,1995,1995
1001,1001.0,3.0,3.0,284,1.0,717,871,2.0,1949.0,2002,3.0,6270,82.0,0.0,0,6,5,1001,1949,1950
1575,0.0,3.0,3.0,430,2.0,1145,529,1.0,1992.0,1575,2.0,8012,50.0,0.0,0,5,6,1575,1992,1992
1194,0.0,3.0,3.0,0,5.0,1194,312,1.0,1959.0,1194,3.0,8760,73.0,220.0,0,6,6,1194,1959,1959
1234,0.0,3.0,0.0,0,5.0,1234,484,1.0,2007.0,1234,2.0,11049,85.0,0.0,30,5,8,1234,2007,2007
2046,0.0,3.0,2.0,0,5.0,2046,834,0.0,2008.0,2046,2.0,11844,80.0,464.0,82,5,8,2046,2008,2008
798,842.0,3.0,3.0,0,5.0,798,520,1.0,2004.0,1640,2.0,8366,65.0,0.0,45,5,6,798,2004,2004
970,0.0,2.0,3.0,630,2.0,340,624,2.0,1996.0,970,3.0,8480,80.0,0.0,24,6,5,970,1963,1963
1824,0.0,2.0,1.0,1219,2.0,424,739,2.0,1971.0,1824,2.0,115149,66.0,351.0,48,5,7,1643,1971,2002
649,668.0,3.0,3.0,0,5.0,649,250,2.0,1920.0,1317,3.0,8500,50.0,0.0,54,4,4,649,1920,1950
1035,371.0,3.0,3.0,0,5.0,319,0,2.0,1982.5,1406,1.0,7920,66.0,0.0,144,7,6,319,1920,1950
1660,0.0,3.0,2.0,1220,2.0,440,500,1.0,2006.0,1660,2.0,10182,85.0,420.0,50,5,8,1660,2006,2006
1252,0.0,3.0,3.0,0,5.0,1252,528,2.0,1960.0,1252,2.0,10721,80.0,243.0,39,6,6,1252,1959,1959
725,754.0,3.0,3.0,533,2.0,192,475,1.0,1976.0,1479,2.0,13517,66.0,289.0,44,8,6,725,1976,2005
882,914.0,3.0,2.0,706,2.0,88,546,1.0,1998.0,1796,3.0,9531,66.0,0.0,36,5,6,794,1998,1998
825,0.0,2.0,3.0,180,3.0,0,720,1.0,1963.0,825,3.0,8235,49.0,0.0,50,7,5,825,1955,1995
1124,0.0,3.0,3.0,0,5.0,0,0,2.0,1982.5,1124,3.0,8335,77.0,0.0,36,5,5,0,1954,1954
1001,634.0,2.0,3.0,0,5.0,485,255,2.0,1950.0,1635,2.0,5310,59.0,0.0,0,8,6,485,1910,2003
1152,0.0,3.0,3.0,0,5.0,1092,300,2.0,1950.0,1152,2.0,14000,80.0,0.0,36,8,6,1092,1950,2004
1064,703.0,2.0,3.0,495,2.0,354,504,1.0,1987.0,1767,2.0,5306,44.0,0.0,35,7,7,1064,1987,1987
1734,0.0,3.0,0.0,1300,2.0,434,660,2.0,2005.0,1734,2.0,11645,78.0,0.0,24,5,7,1734,2005,2005
811,576.0,3.0,3.0,0,5.0,811,256,2.0,1954.0,1387,2.0,6000,50.0,0.0,0,4,5,811,1954,1954
1318,584.0,4.0,3.0,0,5.0,0,539,2.0,1978.0,1902,3.0,8930,68.0,0.0,0,5,6,0,1978,1978
1192,403.0,2.0,3.0,388,3.0,552,240,2.0,1940.0,1595,3.0,8400,60.0,0.0,0,5,6,940,1940,2000
1630,0.0,3.0,3.0,0,5.0,1630,451,2.0,2000.0,1630,2.0,9750,75.0,171.0,234,5,7,1630,2000,2001
742,742.0,3.0,3.0,0,5.0,742,390,0.0,2005.0,1484,2.0,12589,149.0,0.0,24,5,6,742,2005,2005
1120,1120.0,6.0,3.0,0,5.0,0,528,2.0,1979.0,2240,3.0,7018,64.0,0.0,0,5,5,0,1979,1979
1652,0.0,2.0,1.0,1480,2.0,120,482,2.0,2008.0,1652,2.0,5587,64.0,186.0,53,5,8,1600,2008,2008
909,807.0,2.0,3.0,0,5.0,880,512,1.0,1996.0,1716,2.0,8750,70.0,0.0,120,5,7,880,1996,1996
1445,0.0,3.0,1.0,564,5.0,563,645,1.0,1964.0,1445,3.0,12095,66.0,115.0,0,6,6,1127,1964,1964
1728,0.0,6.0,3.0,40,2.0,1424,352,2.0,2002.0,1728,3.0,10624,66.0,84.0,0,4,5,1728,1964,1964
948,0.0,3.0,3.0,0,5.0,948,300,2.0,1968.0,948,3.0,8978,66.0,0.0,0,5,5,948,1968,1968
1811,0.0,2.0,3.0,296,0.0,230,470,0.0,1956.0,1811,0.0,14115,90.0,0.0,0,7,6,1073,1956,2004
1040,0.0,3.0,1.0,633,0.0,431,648,2.0,1963.0,1040,3.0,25286,94.0,0.0,0,5,4,1064,1963,1963
807,702.0,3.0,3.0,0,5.0,783,393,0.0,2003.0,1509,2.0,7875,63.0,0.0,75,5,7,783,2003,2003
1094,761.0,3.0,3.0,0,5.0,528,512,1.0,1976.0,1855,3.0,9600,80.0,360.0,100,7,6,528,1976,1994
990,0.0,3.0,3.0,686,2.0,304,672,2.0,1996.0,990,3.0,9245,57.0,0.0,0,5,5,990,1994,1995
799,772.0,3.0,3.0,0,5.0,799,380,1.0,1993.0,1571,3.0,7837,59.0,0.0,40,7,6,799,1993,1994
1004,848.0,3.0,2.0,668,2.0,336,660,0.0,1999.0,1852,2.0,9066,73.0,320.0,106,5,8,1004,1999,2000
1090,0.0,2.0,3.0,980,0.0,110,450,0.0,2005.0,1090,3.0,7024,60.0,0.0,49,5,5,1090,2005,2006
790,0.0,2.0,2.0,384,5.0,384,160,2.0,1925.0,790,3.0,6292,52.0,0.0,141,5,6,768,1930,1950
686,564.0,3.0,3.0,0,5.0,686,280,2.0,1955.0,1250,1.0,8248,45.0,0.0,0,7,5,686,1918,1950
1337,0.0,2.0,3.0,1201,2.0,36,405,0.0,1998.0,1337,3.0,4500,32.0,443.0,199,5,6,1237,1998,1998
